DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01007284,PH0000010,"Mull, Iona, Coll, Tiree and Colonsay",S12000035,S37000004,S08000022,S92000003
S01007285,PH0000010,"Mull, Iona, Coll, Tiree and Colonsay",S12000035,S37000004,S08000022,S92000003
S01007286,PH0000010,"Mull, Iona, Coll, Tiree and Colonsay",S12000035,S37000004,S08000022,S92000003
S01007287,PH0000010,"Mull, Iona, Coll, Tiree and Colonsay",S12000035,S37000004,S08000022,S92000003
S01007288,PH0000010,"Mull, Iona, Coll, Tiree and Colonsay",S12000035,S37000004,S08000022,S92000003
S01007289,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007290,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007291,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007292,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007293,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007294,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007295,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007296,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007297,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007298,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007299,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007300,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007301,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007302,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007303,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007304,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007305,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007306,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007307,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007308,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007309,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007310,PH0000011,"Oban, Lorn and the Inner Isles",S12000035,S37000004,S08000022,S92000003
S01007311,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007312,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007313,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007314,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007315,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007316,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007317,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007318,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007319,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007320,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007321,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007322,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007323,PH0000012,Mid Argyll,S12000035,S37000004,S08000022,S92000003
S01007324,PH0000013,Islay and Jura,S12000035,S37000004,S08000022,S92000003
S01007325,PH0000013,Islay and Jura,S12000035,S37000004,S08000022,S92000003
S01007326,PH0000013,Islay and Jura,S12000035,S37000004,S08000022,S92000003
S01007327,PH0000013,Islay and Jura,S12000035,S37000004,S08000022,S92000003
S01007328,PH0000013,Islay and Jura,S12000035,S37000004,S08000022,S92000003
S01007329,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007330,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007331,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007332,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007333,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007334,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007335,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007336,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007337,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007338,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007339,PH0000014,Kintyre,S12000035,S37000004,S08000022,S92000003
S01007340,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007341,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007342,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007343,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007344,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007345,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007346,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007347,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007348,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007349,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007350,PH0000015,Bute,S12000035,S37000004,S08000022,S92000003
S01007351,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007352,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007353,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007354,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007355,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007356,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007357,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007358,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007359,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007360,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007361,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007362,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007363,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007364,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007365,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007366,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007367,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007368,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007369,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007370,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007371,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007372,PH0000016,Cowal,S12000035,S37000004,S08000022,S92000003
S01007373,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007374,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007375,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007376,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007377,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007378,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007379,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
S01007380,PH0000017,Helensburgh and Lomond,S12000035,S37000004,S08000022,S92000003
